指标名称,一级市场中标利率:国债
2023-10-31,2.479206
2023-09-30,2.423204
2023-08-31,2.349866
2023-07-31,2.024609
2023-06-30,2.30673
2023-05-31,2.466859
2023-04-30,2.444144
2023-03-31,2.655326
2023-02-28,2.635
2023-01-31,2.326842
2022-12-31,2.48839
2022-11-30,2.538477
2022-10-31,2.195907
2022-09-30,2.304851
2022-08-31,2.48557
2022-07-31,2.369914
2022-06-30,2.441889
2022-05-31,2.497546
2022-04-30,2.31977
2022-03-31,2.538231
2022-02-28,2.603
2022-01-31,2.229044
2021-11-30,2.89
2021-10-31,2.749206
2021-09-30,2.47
2021-08-31,2.69
2021-07-31,2
2021-05-31,2.866078
2021-04-30,2.872827
2021-03-31,3.30375
2021-01-31,2.43
2020-12-31,3.096679
2020-11-30,3.01467
2020-10-31,3.02
2020-09-30,3.81
2020-08-31,2.64
2020-07-31,2.553918
2020-06-30,2.692727
2020-05-31,3.162625
2020-04-30,1.99
2020-03-31,2.771875
2020-02-29,2.2
2020-01-31,2.25
2019-12-31,3.12
2019-11-30,2.935586
2019-10-31,2.94
2019-09-30,2.46
2019-08-31,2.75
2019-07-31,3.383664
2019-06-30,3.580566
2019-05-31,2.998457
2019-04-30,3.19
2019-03-31,2.69
2019-02-28,2.44
2019-01-31,2.31
2018-12-31,3.22
2018-11-30,3.110638
2018-10-31,3.368622
2018-09-30,3.6
2018-08-31,3.165
2018-07-31,3.97
2017-10-31,3.841385
2017-09-30,3.604304
2017-08-31,3.5908
2017-07-31,3.647528
2017-06-30,3.58737
2017-05-31,3.611092
2017-04-30,3.18025
2017-03-31,3.204
2017-02-28,3.316633
2017-01-31,2.8256
2016-11-30,2.781665
2016-10-31,2.34425
2016-08-31,2.747497
2016-07-31,2.543907
2016-06-30,2.9491
2016-05-31,2.861322
2016-04-30,2.849226
2016-03-31,2.7512
2016-02-29,2.2243
2016-01-31,2.562075
2015-11-30,3.21272
2015-10-31,3.071769
2015-09-30,3.026964
2015-08-31,2.1553
2015-07-31,3.327691
2015-06-30,2.59854
2015-05-31,3.271651
2015-04-30,3.614159
2015-03-31,3.2209
2015-02-28,3.312
2015-01-31,3.2477
2014-12-31,3.539657
2014-11-30,4.24
2014-10-31,3.757428
2014-09-30,3.963271
2014-08-31,4.131481
2014-07-31,4.100337
2014-06-30,3.674235
2014-05-31,4.67
2014-04-30,4.217743
2014-03-31,4.0415
2014-01-31,4.3195
2013-12-31,5.05
2013-11-30,4.609324
2013-10-31,3.9643
2013-09-30,4.76
2013-08-31,4.046156
2013-07-31,3.469217
2013-05-31,3.363401
2013-04-30,3.186652
2013-02-28,3.5234
2013-01-31,3.119471
2012-12-31,3.549
2012-11-30,4.35
2012-10-31,2.938
2012-09-30,3.470375
2012-08-31,3.471538
2012-06-30,3.132401
2012-05-31,3.760537
2012-04-30,3.448168
2012-03-31,3.4079
2012-02-29,3.171966
2012-01-31,2.7821
2011-12-31,2.8241
2011-11-30,3.952013
2011-10-31,3.600291
2011-09-30,3.9015
2011-08-31,3.9257
2011-07-31,3.59275
2011-06-30,3.798698
2011-05-31,3.620486
2011-04-30,4.1505
2011-03-31,3.401942
2011-02-28,3.943086
2011-01-31,3.528566
2010-12-31,3.863999
2010-11-30,3.275677
2010-10-31,3.234193
2010-09-30,3.105312
2010-08-31,2.989792
2010-07-31,2.756013
2010-06-30,3.073629
2010-05-31,3.124733
2010-04-30,2.807391
2010-03-31,2.487975
2010-02-28,3.74068
2010-01-31,2.0113
2009-12-31,3.057197
2009-11-30,2.860739
2009-10-31,3.764008
2009-09-30,2.474709
2009-08-31,3.37146
2009-07-31,2.474487
2009-06-30,2.954576
2009-05-31,1.811089
2009-04-30,2.978203
2009-03-31,3.0472
2009-02-28,3.256184
2008-12-31,1.997253
2008-11-30,3.178187
2008-10-31,3.28145
2008-09-30,3.565339
2008-08-31,4.564897
2008-07-31,3.9184
2008-06-30,3.908175
2008-05-31,4.262065
2008-04-30,3.62407
2008-03-31,4.0739
2008-02-29,4.050844
2007-12-31,4.040244
2007-11-30,4.515694
2007-10-31,4.002
2007-09-30,4.21654
2007-08-31,4.181882
2007-07-31,3.53
2007-06-30,3.572616
2007-05-31,3.987217
2007-04-30,2.97452
2007-03-31,2.797282
2007-02-28,2.9268
2006-11-30,3.07548
2006-10-31,2.386838
2006-09-30,2.4387
2006-08-31,2.8038
2006-07-31,2.3425
2006-06-30,2.8126
2006-05-31,2.51255
2006-04-30,2.1186
2006-03-31,2.8023
2006-02-28,2.5109
2005-12-31,1.7522
2005-11-30,3.32955
2005-10-31,2.1436
2005-08-31,2.8271
2005-07-31,1.5782
2005-05-31,3.724252
2005-04-30,3.3022
2005-02-28,4.4392
2004-11-30,4.8581
2004-10-31,4.2982
2004-08-31,4.771442
2004-05-31,4.89
2004-04-30,3.830725
2003-11-30,3.196981
2003-10-31,4.18
2003-08-31,2.66
2003-04-30,2.625
2003-02-28,2.66
2002-12-31,2.93
2002-07-31,2.7
2002-05-31,2.9
2001-10-31,3.85
